Site,ID,SPP,Sens,DBH,CC,SWD_meas,MULT_meas,approxage,agesw
WCR,2505,TIAM,1,35.8,C,,,,
WCR,2506,TIAM,2,38.5,C,,,,
WCR,621,OSVI,3,5.4,S,2,0.99997294,,
WCR,624,ACSA,4,14.1,S,2,0.999604463,34,27
WCR,97,ACSA,5,27.5,C,2.1,0.980425121,79,48
WCR,98,ACSA,6,31.1,C,10,0.538063668,86,70
WCR,625,OSVI,7,14.5,I,,,,
WCR,2507,TIAM,8,7.4,S,2.6,0.94275486,,
WCR,123,FRPE,9,28.2,C,,,,
WCR,114,FRPE,10,31.4,C,,,,
WCR,2508,TIAM,11,7.1,S,2.6,0.945485981,,
WCR,134,ACSA,12,15,I,2.6,0.917493362,68,39
WCR,631,ACSA,13,21.9,I,5.7,0.686917227,56,41
WCR,2926,OSVI,14,5.3,S,2,0.999975961,,